PlayerID,Name,College,Draft_Year,Age,Height,Weight,Draft_Decade
309822,Noah Vonleh,Indiana,2014,22.0,205.74,111.13004,2010s
309823,Nikola Vucevic,USC,2011,27.0,213.36,117.93392,2010s
309824,Naz Mitrou-Long,Iowa State,Undrafted,24.0,193.04,98.88305600000001,Undrafted
309825,Nikola Mirotic,None,2011,27.0,208.28,107.95489599999999,2010s
309826,Nik Stauskas,Michigan,2014,24.0,198.12,92.98635999999999,2010s
309827,Nigel Hayes,Wisconsin,Undrafted,23.0,200.66,115.212368,Undrafted
309828,Nicolas Brussino,None,Undrafted,25.0,203.2,88.45044,Undrafted
309829,Nicolas Batum,None,2008,29.0,203.2,90.7184,2000s
309830,Nick Young,USC,2007,33.0,200.66,95.25432,2000s
309831,Nick Collison,Kansas,2003,37.0,208.28,115.66596000000001,2000s
309832,Nerlens Noel,Kentucky,2013,24.0,210.82,99.79024,2010s
309833,Nene,None,2002,35.0,210.82,113.398,2000s
309834,Nikola Jokic,None,2014,23.0,208.28,113.398,2010s
309835,Semi Ojeleye,Southern Methodist,2017,23.0,200.66,106.59411999999999,2010s
309836,Serge Ibaka,None,2008,28.0,208.28,106.59411999999999,2000s
309837,Shabazz Muhammad,California-Los Angeles,2013,25.0,198.12,100.243832,2010s
309838,Vincent Hunter,Texas-El Paso,Undrafted,23.0,203.2,94.34713599999999,Undrafted
309839,Vince Carter,North Carolina,1998,41.0,198.12,99.79024,1990s
309840,Victor Oladipo,Indiana,2013,26.0,193.04,95.25432,2010s
309841,Vander Blue,Marquette,Undrafted,25.0,195.58,90.7184,Undrafted
309842,Udonis Haslem,Florida,Undrafted,38.0,203.2,106.59411999999999,Undrafted
309843,Tyus Jones,Duke,2015,22.0,187.96,83.46092800000001,2010s
309844,Tyson Chandler,None,2001,35.0,215.9,108.86208,2000s
309845,Tyrone Wallace,California,2016,24.0,195.58,89.811216,2010s
309846,Wade Baldwin IV,Vanderbilt,2016,22.0,193.04,91.625584,2010s
309847,Tyreke Evans,Memphis,2009,28.0,198.12,99.79024,2000s
309848,Tyler Ulis,Kentucky,2016,22.0,177.8,72.57472,2010s
309849,Tyler Lydon,Syracuse,2017,22.0,205.74,99.79024,2010s
309850,Tyler Johnson,Fresno State,Undrafted,26.0,193.04,86.18248,Undrafted
309851,Tyler Ennis,Syracuse,2014,23.0,190.5,87.996848,2010s
309852,Tyler Dorsey,Oregon,2017,22.0,195.58,83.007336,2010s
309853,Tyler Cavanaugh,George Washington,Undrafted,24.0,205.74,107.95489599999999,Undrafted
309854,Troy Williams,Indiana,Undrafted,23.0,200.66,98.88305600000001,Undrafted
309855,Troy Daniels,Va Commonwealth,Undrafted,26.0,193.04,92.98635999999999,Undrafted
309856,Tyler Zeller,North Carolina,2012,28.0,213.36,113.398,2010s
309857,Tristan Thompson,Texas,2011,27.0,205.74,107.95489599999999,2010s
309858,Walt Lemon Jr.,None,Undrafted,25.0,190.5,81.64656,Undrafted
309859,Wayne Selden,Kansas,Undrafted,23.0,195.58,104.32616,Undrafted
309860,Iman Shumpert,Georgia Tech,2011,28.0,195.58,99.79024,2010s
309861,Zhou Qi,None,2016,22.0,215.9,95.25432,2010s
309862,Zaza Pachulia,None,2003,34.0,210.82,122.46983999999999,2000s
309863,Zach Randolph,Michigan State,2001,36.0,205.74,113.398,2000s
309864,Zach LaVine,UCLA,2014,23.0,195.58,83.91452,2010s
309865,Zach Collins,Gonzaga,2017,20.0,213.36,104.32616,2010s
309866,Yogi Ferrell,Indiana,Undrafted,25.0,182.88,81.64656,Undrafted
309867,Xavier Silas,Northern Illinois,2011,30.0,195.58,92.98635999999999,2010s
309868,Wayne Ellington,North Carolina,2009,30.0,195.58,90.7184,2000s
309869,Xavier Rathan-Mayes,Florida State,Undrafted,24.0,193.04,94.34713599999999,Undrafted
309870,Wilson Chandler,DePaul,2007,31.0,205.74,102.0582,2000s
309871,Willy Hernangomez,None,2015,24.0,210.82,108.86208,2010s
309872,Willie Reed,St. Louis,Undrafted,28.0,210.82,111.13004,Undrafted
309873,Willie Cauley-Stein,Kentucky,2015,24.0,213.36,108.86208,2010s
309874,Will Barton,Memphis,2012,27.0,198.12,86.18248,2010s
309875,Wesley Matthews,Marquette,Undrafted,31.0,195.58,99.79024,Undrafted
309876,Wesley Johnson,Syracuse,2010,30.0,200.66,97.52228000000001,2010s
309877,Wes Iwundu,Kansas State,2017,23.0,200.66,88.45044,2010s
309878,Xavier Munford,Rhode Island,Undrafted,26.0,193.04,78.471416,Undrafted
309879,Trey McKinney-Jones,Miami (FL),Undrafted,27.0,195.58,99.79024,Undrafted
309880,Trey Lyles,Kentucky,2015,22.0,208.28,106.140528,2010s
309881,Trey Burke,Michigan,2013,25.0,185.42,86.636072,2010s
309882,Tarik Black,Kansas,Undrafted,26.0,205.74,113.398,Undrafted
309883,Taj Gibson,USC,2009,33.0,205.74,106.59411999999999,2000s
309884,TJ Leaf,UCLA,2017,21.0,208.28,104.32616,2010s
309885,T.J. Warren,North Carolina State,2014,24.0,203.2,97.52228000000001,2010s
309886,T.J. McConnell,Arizona,Undrafted,26.0,187.96,86.18248,Undrafted
309887,Steven Adams,Pittsburgh,2013,24.0,213.36,115.66596000000001,2010s
309888,Sterling Brown,Southern Methodist,2017,23.0,198.12,104.32616,2010s
309889,Stephen Curry,Davidson,2009,30.0,190.5,86.18248,2000s
309890,Taurean Prince,Baylor,2016,24.0,203.2,99.79024,2010s
309891,Stanley Johnson,Arizona,2015,22.0,200.66,111.13004,2010s
309892,Solomon Hill,Arizona,2013,27.0,200.66,102.0582,2010s
309893,Skal Labissiere,Kentucky,2016,22.0,210.82,102.0582,2010s
309894,Sindarius Thornwell,South Carolina,2017,23.0,195.58,97.52228000000001,2010s
309895,Shelvin Mack,Butler,2011,28.0,190.5,92.079176,2010s
309896,Shaun Livingston,None,2004,32.0,200.66,87.089664,2000s
309897,Shaquille Harrison,Tulsa,Undrafted,24.0,193.04,86.18248,Undrafted
309898,Shane Larkin,Miami,2013,25.0,180.34,79.3786,2010s
309899,Shabazz Napier,Connecticut,2014,26.0,185.42,79.3786,2010s
309900,Spencer Dinwiddie,Colorado,2014,25.0,198.12,90.7184,2010s
309901,Terrance Ferguson,None,2017,20.0,200.66,83.46092800000001,2010s
309902,Terrence Ross,Washington,2012,27.0,200.66,93.439952,2010s
309903,Terry Rozier,Louisville,2015,24.0,187.96,86.18248,2010s
309904,Trevor Booker,Clemson,2010,30.0,203.2,103.418976,2010s
309905,Trevor Ariza,UCLA,2004,33.0,203.2,97.52228000000001,2000s
309906,Travis Wear,UCLA,Undrafted,27.0,208.28,102.0582,Undrafted
309907,Torrey Craig,South Carolina Upstate,Undrafted,27.0,198.12,97.52228000000001,Undrafted
309908,Tony Snell, ,2013,26.0,200.66,100.243832,2010s
309909,Tony Parker,None,2001,36.0,187.96,83.91452,2000s
309910,Tony Bradley,North Carolina,2017,20.0,208.28,112.490816,2010s
309911,Tony Allen,Oklahoma State,2004,36.0,193.04,96.615096,2000s
309912,Tomas Satoransky,None,2012,26.0,200.66,95.25432,2010s
309913,Tobias Harris,Tennessee,2011,25.0,205.74,106.59411999999999,2010s
